No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,VC,DE,必須スキル
327,4,AI活用,生成,大規模言語モデル,★★,大規模言語モデル（LLM）でHallucinationが起こる理由を言語モデルとしての特性（尤度にもとづくワード生成）や学習手法（自己教師あり学習やRLHF等）、汎化（外挿に対する真実味）の観点などから説明できる,,,
328,5,AI活用,生成,大規模言語モデル,★★,基準となる指標や評価のためのデータセットなどの性能評価方針に従い、大規模言語モデル（LLM）の性能を評価できる,,,
329,6,AI活用,生成,大規模言語モデル,★★,"生成文と外部知識（RAG文脈や引用）との整合性を、評価指標（SelfCheckGPT, FactCC, FEVER,  RAGAS）を駆使し、誤情報抑制の仕組みを設計・運用できる",,,
330,7,AI活用,生成,大規模言語モデル,★★,生成AIの有害出力（差別・攻撃・性的・暴力的など）に対し、検知ツール［OpenAI Moderation API、Detoxify、Perspective API］や倫理的制御手法［Constitutional AI、システムプロンプト設計］を使い、評価・運用・監視まで一貫して設計・改善できる,,,
331,8,AI活用,生成,大規模言語モデル,★★,従来指標（BLEU／ROUGE／BERTScore）に加え、LLM-as-a-Judge/Criticを用いて出力の品質を自動で測定・フィードバックすることができる,,,
332,9,AI活用,生成,大規模言語モデル,★★,大規模言語モデルの推論性能の向上に活用される手法（RLHFやRLVRなどによる強化学習を通じた報酬設計の改善や、GPROなどによる推論過程の最適化など）について理解している,,,
333,10,AI活用,生成,大規模言語モデル,★★★,大規模言語モデル（LLM）とそれ以前の自然言語処理技術について、それぞれが得意とするタスクや処理性能、ドメインユースへのカスタマイズ可否などの観点から違いを理解し、自社組織の課題に対して適切な手法の導入を推進できる,,,
334,11,AI活用,生成,大規模言語モデル,★★★,オープンソースの大規模言語モデル（LLM）を活用する上での留意点（入出力データの管理方法や性能面での限界など）と使い方（パラメータ更新可否や代表的なファインチューニング方法など）を理解し導入できる,,,
335,12,AI活用,生成,大規模言語モデル,★★★,大規模言語モデル（LLM）において、利用者にとって好ましいと考えられる出力や安全性が確保された出力を生成できるようにするための学習手法を知っている（Reinfocement Learning from Human Feedback:RLHFやLIMAなど）,,,
336,13,AI活用,生成,大規模言語モデル,★★★,大規模言語モデル（LLM）に対し、効率的なFine Tuning（Parameter-Efficient Fine-Tuning:PEFT）を行うための手法を知っている（Prefix Tuning、Adapter、LoRAなど）,,,
337,14,AI活用,生成,大規模言語モデル,★★★,大規模言語モデル（LLM）の評価について検討すべき事項を理解し、指標や評価のためのデータセットを選定できる - 自然言語処理タスクとしての性能（GLUEやJGLUEなど） - 目的・専門領域での性能（司法や医療分野などの模擬試験） - 敵対的なプロンプトへの対応、レスポンス改善やファインチューニングを含めた開発・運用コスト など,,,
338,15,AI活用,生成,大規模言語モデル,★★★,Context lengthの概念やそれが推論能力に与える影響、RLHFに伴う人間フィードバックの限界とreward hackingのリスクなど、LLMの構造的課題を理解し、適切な学習設計や制御戦略を構築できる,,,
339,16,AI活用,生成,画像生成モデル,★★★,拡散モデルとそれ以前の画像認識・生成モデルについて、それぞれが得意とするタスクや処理性能、ドメインユースへのカスタマイズ可否などの観点から特徴を理解し、自社組織の課題に対して適切な手法の導入を推進できる,,,
340,17,AI活用,生成,画像生成モデル,★★★,拡散モデルやフローベースモデルの理論を理解し、目的に応じた画像生成を行える,,,
341,18,AI活用,生成,画像生成モデル,★★★,生成過程を制御するための補助モデル（LoRA、ControlNet、Inpainting、Style Transferなど）の構造と役割を理解し、活用できる,,,
342,19,AI活用,生成,画像生成モデル,★★★,拡散モデルにおける逐次サンプリングの計算負荷を軽減するために、高速化手法（DDIM、one-step生成など）の原理を理解し目的に応じて適切な高速化設計を実装できる,,,
343,20,AI活用,生成,画像生成モデル,★★★,生成モデルにより出力された画像に対して、品質指標（FID、CLIP Score、Inception Scoreなど）とビジネス観点における合理性（設計図の生成に関する構造的妥当性や生成シーンにおける尤もらしさなど）の双方から評価を行うことができる,＊,,
344,21,AI活用,生成,オーディオ生成モデル,★★★,オーディオ生成モデルが大規模言語モデル（LLM）を利用する場合において、オーディオデータの系列長圧縮や離散化などのエンコーディング技術がどのような役割を果たすか説明できる（Neural Audio Codecによるオーディオデータのエンコーディングがトークナイズの役割を果たすなど）,,,
345,22,AI活用,生成,オーディオ生成モデル,★★★,主要なオーディオ生成モデル（WaveNet、FastSpeech、Diffusion-TTSなど）の理論を理解し、目的に応じた音声を生成できる,,,
346,23,AI活用,生成,オーディオ生成モデル,★★★,生成過程を制御するための補助モジュール（Prosody Encoder、Emotion Conditioning、Voice Conversionなど）の構造と役割を理解し、条件付けにより音声の韻律・感情・話者特性を制御した高精度な音声生成・編集を行える,,,
347,24,AI活用,生成,オーディオ生成モデル,★★★,生成モデルの推論効率を改善するため、並列生成手法（FastSpeech、Non-Autoregressiveモデルなど）のデコーディング戦略や、モデルの量子化、蒸留などの軽量化手法を理解し、低遅延のリアルタイム生成やエッジデバイスへの実装設計を行える,,,
348,25,AI活用,生成,オーディオ生成モデル,★★★,オーディオ生成技術の動向を評価し、ビジネス要件(品質、レイテンシ、コスト)に応じた生成モデルの選定戦略とシステムアーキテクチャを設計できる,,,
349,26,AI活用,生成,オーディオ生成モデル,★★★,オーディオ生成プロジェクト全体の品質評価指標として、客観的品質指標（PESQ、MCDなど）と主観的評価指標（Mean Opinion Score: MOS）の双方を統合できる,,,
350,27,AI活用,生成,動画生成モデル,★★★,動画生成の主要なアプローチ（2D/3D Convolutionベース、Transformerベース、拡散モデルの時空間拡張など）の構造と特性を理解し、目的に応じた適切なモデルを選択・導入できる,,,
351,28,AI活用,生成,動画生成モデル,★★★,動画生成における時系列的な一貫性（Temporal Consistency）の重要性を理解し、その向上に寄与する技術（Attention機構の適用、フレーム間予測の工夫）の原理を説明できる,,,
352,29,AI活用,生成,動画生成モデル,★★★,条件付け、ファインチューニング、各種編集タスクに必要な補助モジュール（ControlNet拡張、LoRA、DreamBooth、インペインティング等）の構造と役割を理解し、時空間的な一貫性を保ちながら、動画生成および編集のプロセスを高精度に制御・カスタマイズできる,,,
353,30,AI活用,生成,動画生成モデル,★★★,生成モデルの推論やデコード処理における計算負荷・生成品質のトレードオフを理解し、サンプリングステップ数・解像度・フレーム長などを最適化して処理速度と品質のバランスをとった生成を行える,,,
354,31,AI活用,生成,動画生成モデル,★★★,生成された動画に対して、画質だけでなく、時間的な滑らかさ（Temporal Smoothness）や動きの自然さを測る品質指標（Fréchet Video Distance：FVD）、ビジネス観点における動作やシーンの妥当性などから評価を行うことができる,,,
